dhcp.bad_bitfield,Bogus bitfield
dhcp.option.vendor.arubaap.controllerip,Aruba Controller IP
dhcp.option.vendor.arubaiap,Aruba Instant AP
dhcp.option.vendor.arubaiap.amp_ip,AMP IP Address
dhcp.option.vendor.arubaiap.name_org,Name Organisation
dhcp.option.vendor.arubaiap.password,Password
dhcp.option.vendor.avaya,Private/Avaya IP Telephone
dhcp.option.vendor.avaya.dot1x,DOT1X
dhcp.option.vendor.avaya.httpdir,HTTPDIR
dhcp.option.vendor.avaya.httpsrvr,HTTPSRVR
dhcp.option.vendor.avaya.icmpdu,ICMPDU
dhcp.option.vendor.avaya.icmpred,ICMPRED
dhcp.option.vendor.avaya.l2q,L2Q
dhcp.option.vendor.avaya.l2qvlan,L2QVLAN
dhcp.option.vendor.avaya.l2qvlan.invalid,Option 242 (L2QVLAN) invalid
dhcp.option.vendor.avaya.loglocal,LOGLOCAL
dhcp.option.vendor.avaya.mcipadd,MCIPADD
dhcp.option.vendor.avaya.phy1stat,PHY1STAT
dhcp.option.vendor.avaya.phy2stat,PHY2STAT
dhcp.option.vendor.avaya.procpswd,PROCPSWD
dhcp.option.vendor.avaya.procstat,PROCSTAT
dhcp.option.vendor.avaya.snmpadd,SNMPADD
dhcp.option.vendor.avaya.snmpstring,SNMPSTRING
dhcp.option.vendor.avaya.static,STATIC
dhcp.option.vendor.avaya.tlssrvr,TLSSRVR
dhcp.option.vendor.avaya.vlantest,VLANTEST
dhcp.option.vendor.avaya.vlantest.invalid,Option 242 (avaya vlantest) invalid
dhcp.option.vendor.bsdp.attributes_filter_list,Boot Image Attributes Filter List
dhcp.option.vendor.bsdp.boot_image.attribute,Boot Image Attribute
dhcp.option.vendor.bsdp.boot_image.attribute.install,Install
dhcp.option.vendor.bsdp.boot_image.attribute.kind,Kind
dhcp.option.vendor.bsdp.boot_image.attribute.reserved,Reserved
dhcp.option.vendor.bsdp.boot_image.desc,Boot Image Description
dhcp.option.vendor.bsdp.boot_image.index,Boot Image Index
dhcp.option.vendor.bsdp.boot_image.name,Boot Image Name
dhcp.option.vendor.bsdp.boot_image.name_len,Boot Image Name Length
dhcp.option.vendor.bsdp.boot_image_list,Boot Image List
dhcp.option.vendor.bsdp.boot_image_list_path,Boot Image List Path
